StationID	StationNam	LatitudeDD	LongitudeD	Horizontal	StationDep	StationD_1	WaterbodyN	NEPName	TaxaName	Count	PctDensity
NCCA10-1024	NA	42.735867	-70.81045	2	3	m	Plum Island Sound	Massachusetts Bay	taxon01	1	0.058823529
NCCA10-1028	NA	42.520417	-70.832067	2	13.2	m	Salem Sound	Massachusetts Bay	taxon01	1	0.052631579
NCCA10-1030	NA	42.448383	-70.951933	2	2.2	m	Broad Sound	Massachusetts Bay	taxon01	1	0.166666667
NCCA10-1005	NA	41.599133	-70.732633	2	12.9	m	Buzzards Bay	Buzzards Bay	taxon01	1	0.125
NCCA10-1006	NA	41.58765	-70.87095	2	4.8	m	Buzzards Bay	Buzzards Bay	taxon01	1	0.2
NCCA10-1007	NA	41.609217	-70.8464	2	1.6	m	Buzzards Bay	Buzzards Bay	taxon01	1	0.25
NCCA10-1008	NA	41.60468	-71.06268	2	1.1	m	Westport River	Buzzards Bay	taxon01	1	0.052631579
NCCA10-1009	NA	41.471233	-70.7989	2	7.3	m	Buzzards Bay	Buzzards Bay	taxon01	1	0.111111111
NCCA10-1010	NA	41.5051	-70.899367	2	16.3	m	Buzzards Bay	Buzzards Bay	taxon01	1	0.166666667
NCCA10-1027	NA	41.950183	-70.2553	2	35.1	m	Cape Cod Bay	Massachusetts Bay	taxon01	1	0.2
NCCA10-1034	NA	41.956233	-70.115733	2	15.6	m	Cape Cod Bay	Massachusetts Bay	taxon01	1	0.142857143
NCCA10-1066	NA	41.37575	-70.40173	NA	12.4	m	Nantucket Sound	NA	taxon01	1	0.2
NCCA10-1070	NA	41.584383	-70.453321	2	0.6	m	Popponesset Bay	NA	taxon01	1	0.166666667
NCCA10-1077	NA	41.386917	-70.297117	2	13.6	m	Nantucket Sound	NA	taxon01	1	0.25
NCCA10-1023	NA	42.3732	-71.05038	2	10.2	m	Boston Inner Harbor	Massachusetts Bay	taxon01	1	0.041666667
NCCA10-1024	NA	42.73515	-70.81126	2	0.6	m	Plum Island Sound	Massachusetts Bay	taxon01	1	0.058823529
D1	Duxbury Harbor	42.0356	-70.6666	NA	NA	NA	Plymouth Harbor-Duxbury Bay	NA	taxon01	1	0.083333333
D3	Duxbury Harbor	42.0475	-70.6492	NA	NA	NA	Plymouth Harbor-Duxbury Bay	NA	taxon01	1	0.066666667
ER	Eel River Kingston	41.9509	-70.6387	NA	NA	NA	Plymouth Harbor-Duxbury Bay	NA	taxon01	1	0.090909091
P1	Plymouth Harbor	41.9641	-70.6623	NA	NA	NA	Plymouth Harbor-Duxbury Bay	NA	taxon01	1	0.076923077
P3	Plymouth Harbor	41.9655	-70.6511	NA	NA	NA	Plymouth Harbor-Duxbury Bay	NA	taxon01	1	0.071428571
EST-PR-24	NA	42.761772	-70.836756	NA	NA	NA	Plum Island Sound	NA	taxon01	1	0.111111111
EST-SO-IBYC	NA	42.70978	-70.794837	NA	NA	NA	Plum Island Sound	NA	taxon01	1	0.1
EST-SO-Nelson	NA	42.747161	-70.820087	NA	NA	NA	Plum Island Sound	NA	taxon01	1	0.1
BH-015	Inner/Chelsea; Upper inner harbor	42.383	-71.045167	NA	NA	NA	Boston Harbor	NA	taxon01	1	0.090909091
BH-019	Inner/Chelsea; Fort Point Channel	42.3587721	-71.04618	NA	NA	NA	Boston Harbor	NA	taxon01	1	0.125
BH-048	South Dorchester Bay; Moon Is.	42.3094877	-70.9898721	NA	NA	NA	Boston Harbor	NA	taxon01	1	0.1
BH-065	"PRESIDENT ROADS, R.BUOY#2; INNER"	42.335	-70.9815	NA	NA	NA	Boston Harbor	NA	taxon01	1	0.090909091
BH-106	Outer Harbor; Outer Harbor	42.3325	-70.959	NA	10.3368932	m	Boston Harbor	NA	taxon01	1	0.083333333
BH-124	NA	42.272667	-70.897667	NA	NA	NA	Boston Harbor Estuary	NA	taxon01	1	0.090909091
BH-137	Mystic/Alewife; Mystic mouth	42.3867631	-71.0628286	NA	13.0119403	m	Boston Harbor	NA	taxon01	1	0.090909091
BH-139	NA	42.286667	-70.968333	NA	NA	NA	Boston Harbor Estuary	NA	taxon01	1	0.142857143
MA01-0072-A	NA	42.362	-71.029	NA	NA	NA	Boston Harbor Estuary	NA	taxon01	1	0.1
MA06-0047-A	NA	42.308	-70.987	NA	NA	NA	Boston Harbor Estuary	NA	taxon01	1	0.071428571
MA01-0006-A	NA	42.597	-70.682	NA	NA	NA	Gloucester Harbor Estuary	NA	taxon01	1	0.058823529
MA06-0049-A	NA	42.598	-70.662	NA	NA	NA	Gloucester Harbor Estuary	NA	taxon01	1	0.090909091
MA00-0025-B	NA	41.982	-70.652	NA	NA	NA	Plymouth Harbor-Duxbury Bay Estuary	NA	taxon01	1	0.066666667
MA01-0024-A	NA	42.003	-70.68	NA	NA	NA	Plymouth Harbor-Duxbury Bay Estuary	NA	taxon01	1	0.066666667
MA04-0131-A	NA	42.006	-70.704	NA	NA	NA	Plymouth Harbor-Duxbury Bay Estuary	NA	taxon01	1	0.071428571
MA06-0035-B	NA	42.038	-70.646	NA	NA	NA	Plymouth Harbor-Duxbury Bay Estuary	NA	taxon01	1	0.058823529
MA04-0146-C	NA	42.683	-70.824	NA	NA	NA	Plum Island Sound	NA	taxon01	1	0.0625
MA00-0005-A	NA	42.548	-70.835	NA	NA	NA	Salem Sound Estuary	NA	taxon01	1	0.052631579
MA01-0002-A	NA	42.532	-70.852	NA	NA	NA	Salem Sound Estuary	NA	taxon01	1	0.055555556
MA04-0002-A	NA	42.532	-70.852	NA	NA	NA	Salem Sound Estuary	NA	taxon01	1	0.055555556
MA05-0008-A	NA	42.525	-70.798	NA	NA	NA	Salem Sound Estuary	NA	taxon01	1	0.066666667
NCCA10-1023	Boston Inner Harbor	42.373167	-71.050362	NA	10.4	m	Boston Harbor	NA	taxon01	1	0.041666667
NCCA10-1028	Salem Sound	42.520417	-70.832067	NA	13.2	m	Salem Sound	NA	taxon01	1	0.052631579
3C	Salem Harbor C - West Moorings; Salem Harbor	42.51608	-70.878	NA	2.2	m	Salem Sound	NA	taxon01	1	0.090909091
4D	Salem Harbor D - South River; Salem Harbor	42.51612	-70.8843	NA	2	m	Salem Sound	NA	taxon01	1	0.1
BEV	Beverly Harbor	42.54035	-70.8582	NA	NA	NA	Salem Sound	NA	taxon01	1	0.0625
MHD	Marblehead Harbor	42.512427	-70.83180329	NA	NA	NA	Salem Sound	NA	taxon01	1	0.076923077
SAL1	Salem 1; Salem Sound/Harbor	42.523639	-70.86711725	NA	NA	NA	Salem Sound	NA	taxon01	1	0.055555556
SAL2	Salem 2; Salem Sound/Harbor	42.51212966	-70.87504238	NA	NA	NA	Salem Sound	NA	taxon01	1	0.071428571
SS11	Salem Sound	42.5252	-70.87291667	NA	NA	NA	Salem Sound	NA	taxon01	1	0.058823529
SS12	Salem Sound	42.54698333	-70.85106667	NA	NA	NA	Salem Sound	NA	taxon01	1	0.1
SS6	Salem Sound	42.53603333	-70.83655	NA	NA	NA	Salem Sound	NA	taxon01	1	0.111111111
SS7	Salem Sound	42.52166667	-70.86056667	NA	NA	NA	Salem Sound	NA	taxon01	1	0.0625
AQUINNAH_WQX-MEN POND QD	Menemsha Pond Site # 47 - Quitsa Dock	41.327177	-70.7673986	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.052631579
AQUINNAH-MEN PND WB	Menemsha Pond West Basic Dock	41.3500338	-70.7668222	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.058823529
AQUINNAH-MEN TXCO	Texaco Dock located inside Menemsha Pond	41.3500744	-70.7666683	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.066666667
AR1A	Acushnet River	41.681882	-70.919008	NA	0.447142857	NA	Acushnet River	NA	taxon01	1	0.1
AC1	Aucoot Cove Inner	41.6769	-70.765604	NA	0.746930693	NA	Aucoot Cove	NA	taxon01	1	0.066666667
AC1A	Aucoot Cove Inner	41.677179	-70.762941	NA	0.843478261	NA	Aucoot Cove	NA	taxon01	1	0.047619048
AC4	Aucoot Cove Inner	41.674931	-70.756969	NA	4.217317073	NA	Aucoot Cove	NA	taxon01	1	0.0625
AC7	Aucoot Marsh Creek	41.678896	-70.763802	NA	0.956129032	NA	Aucoot Cove	NA	taxon01	1	0.083333333
BB3	Buttermilk Bay	41.754256	-70.628691	NA	1.407666667	NA	Buttermilk Bay	NA	taxon01	1	0.058823529
BB4	Buttermilk Bay	41.749385	-70.623901	NA	2.708513514	NA	Buttermilk Bay	NA	taxon01	1	0.055555556
BB5	Buttermilk Bay	41.762982	-70.624804	NA	1.73125	NA	Buttermilk Bay	NA	taxon01	1	0.047619048
LB1	Little Buttermilk Bay	41.762816	-70.613245	NA	1.974827586	NA	Buttermilk Bay	NA	taxon01	1	0.058823529
LB2X	Little Buttermilk Bay	41.766308	-70.610264	NA	1.705589744	NA	Buttermilk Bay	NA	taxon01	1	0.055555556
CC1A	Clarks Cove Inner	41.608478	-70.930316	NA	1.016470588	NA	Clarks Cove	NA	taxon01	1	0.047619048
CC1N	Clarks Cove Inner	41.610605	-70.928393	NA	2.733333333	NA	Clarks Cove	NA	taxon01	1	0.058823529
CC1X	Clarks Cove Inner	41.611092	-70.929391	NA	2.173333333	NA	Clarks Cove	NA	taxon01	1	0.05
CC4	Clarks Cove Outer	41.599181	-70.921089	NA	5.443939394	NA	Clarks Cove	NA	taxon01	1	0.045454545
CI1	Cuttyhunk Pond	41.424552	-70.92869	NA	1.852	NA	Cuttyhunk Pond	NA	taxon01	1	0.090909091
MH3	Warren's Landing	41.28538035	-70.19443515	NA	NA	NA	Madaket Harbor	NA	taxon01	1	0.024390244
MG1N	Megansett Harbor Inner	41.656801	-70.623834	NA	2.525	NA	Megansett Harbor	NA	taxon01	1	0.071428571
MG1X	Megansett Harbor Inner	41.656435	-70.623837	NA	2.474659091	NA	Megansett Harbor	NA	taxon01	1	0.090909091
MG2	Megansett Harbor Inner	41.658968	-70.632234	NA	2.998571429	NA	Megansett Harbor	NA	taxon01	1	0.076923077
MH1	Mattapoisett Harbor Inner	41.656615	-70.812807	NA	2.405357143	NA	Mattapoisett Harbor	NA	taxon01	1	0.055555556
MH6	Mattapoisett Harbor Outer	41.64695	-70.80185	NA	5.1	NA	Mattapoisett Harbor	NA	taxon01	1	0.071428571
BD1	Broad-Muddy Cove	41.747914	-70.65591	NA	1.249393939	NA	Onset Bay	NA	taxon01	1	0.05
OB1	Onset Bay Inner	41.740892	-70.659368	NA	2.589722222	NA	Onset Bay	NA	taxon01	1	0.071428571
OB10	Onset Bay Outer	41.731196	-70.641213	NA	2.658571429	NA	Onset Bay	NA	taxon01	1	0.055555556
OB2	Onset Bay Outer	41.738223	-70.64778	NA	2.564130435	NA	Onset Bay	NA	taxon01	1	0.0625
OB3	Onset Bay Inner	41.734355	-70.664112	NA	2.647368421	NA	Onset Bay	NA	taxon01	1	0.055555556
OB3A	Onset Bay Inner	41.734777	-70.665905	NA	2.282857143	NA	Onset Bay	NA	taxon01	1	0.052631579
OB6	Onset Bay Inner	41.73877	-70.652306	NA	2.153333333	NA	Onset Bay	NA	taxon01	1	0.071428571
OB7	Onset Bay Outer	41.732841	-70.653211	NA	2.805571429	NA	Onset Bay	NA	taxon01	1	0.071428571
OB9	Onset Bay Outer	41.734026	-70.645207	NA	2.145454546	NA	Onset Bay	NA	taxon01	1	0.052631579
SB1	Shell Point Bay	41.738635	-70.669118	NA	1.398	NA	Onset Bay	NA	taxon01	1	0.052631579
SB2X	Shell Point Bay	41.74212	-70.672458	NA	0.80525	NA	Onset Bay	NA	taxon01	1	0.05
PH3	Phinneys Harbor Inner	41.717597	-70.616595	NA	2.627575758	NA	Phinneys Harbor	NA	taxon01	1	0.058823529
PH4	Phinneys Harbor Inner	41.720721	-70.61745	NA	3.29137931	NA	Phinneys Harbor	NA	taxon01	1	0.076923077
PH5	Phinneys Harbor Inner	41.724194	-70.619632	NA	3.301612903	NA	Phinneys Harbor	NA	taxon01	1	0.035714286
PH6	Phinneys Harbor Inner	41.722623	-70.625235	NA	3.707794118	NA	Phinneys Harbor	NA	taxon01	1	0.083333333
PC1	Pocasset Harbor Inner	41.691059	-70.627264	NA	1.731226415	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.041666667
PC2	Pocasset Harbor Outer	41.688188	-70.6322	NA	2.523076923	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.041666667
PC3	Pocasset Harbor Outer	41.683528	-70.642811	NA	2.861111111	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.058823529
PC4	Pocasset Harbor Outer	41.680027	-70.64995	NA	3.021875	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.066666667
